trade_id,risk_class,risk_factor,bucket,delta_sensitivity,vega_sensitivity,notional,currency,exotic_flag,position_side,credit_rating,Instrument Type,Market Value
T001,GIRR,USD_GOVT_10Y,1,85000,0,10000000,USD,False,long,IG,Bond,9850000
T002,CSR_NS,CORP_HY_ENERGY_5Y,2,-45000,0,5000000,USD,False,short,HY,Bond,-4900000
T003,EQ,AAPL,5,12000,2500,1200000,USD,False,long,NR,Option,50000
T004,COMM,WTI_CRUDE,7,30000,0,3000000,USD,False,long,NR,Future,3100000
T005,FX,EUR/USD,1,50000,0,5000000,USD,False,long,NR,FX Spot,5000000
T006,EQ,EXOTIC_BASKET,11,5000,1000,1000000,USD,True,long,NR,Structured Note,950000
T007,CSR_NS,CORP_IG_TECH_7Y,1,60000,0,8000000,USD,False,long,IG,Bond,8100000
T008,GIRR,USD_CORP_15Y,2,95000,1500,12000000,USD,False,long,IG,Callable Bond,11900000
T009,GIRR,USD_GOVT_2Y,1,-50000,0,6000000,USD,False,short,IG,Bond,-5950000
T010,CSR_NS,CORP_IG_FIN_10Y,1,75000,0,9000000,USD,False,long,IG,Bond,9100000
T011,EQ,GOOG,5,18000,0,2500000,USD,False,long,NR,Stock,2550000
T012,EQ,TSLA,6,-8000,-1500,1000000,USD,False,short,NR,Option,-40000
T013,COMM,GOLD,8,25000,0,2000000,USD,False,long,NR,Future,2050000
T014,FX,EUR/GBP,1,35000,0,4000000,USD,False,long,NR,FX Forward,4000000
T015,FX,USD/BRL,1,-20000,0,2000000,USD,False,short,NR,FX Forward,-2000000
T016,GIRR,USD_SWAP_5Y,1,40000,3500,5000000,USD,False,long,NR,Swaption,150000
T017,CSR_SEC_NCTP,RMBS_PRIME_A,20,22000,0,2000000,USD,False,long,IG,RMBS,2020000
T018,COMM,WEATHER_DERIV,17,1000,50,500000,USD,True,long,NR,Exotic Derivative,48000
T019,CSR_NS,PRIVATE_DEBT_NR,3,-15000,0,1500000,USD,False,short,NR,Loan,-1450000
T020,EQ,MSFT,5,9000,0,1000000,USD,False,long,NR,Stock,1010000
